Year,Agreement_Type,Source_URL,Main_Title,Issued by,Date of Issue,Decision number,Date of entry into force of collective agreement,Expiry date of collective agreement,Date of signature of collective agreement,General applicability,Employer side,Employee side,PDF_1,PDF_2,PDF_3,PDF_4,PDF_5,PDF_6,PDF_7,Comments
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/25,Kollektivavtal för den prehospitala akutsjukvården,Committee for Confirming the General Applicability of Collective Agreements,18.9.2017,25/2017,1.5.2024,30.4.2026,17.12.2024,Kollektivavtalet är allmänt bindande,"Hyvinvointialan liitto ry, Suomen Sairaankuljetusliitto ry",Tehy rf,EnsihoitopalvelualaStmRuotsi2405.pdf,EnsihoitopalvelualaStmRuotsi2205.pdf,EnsihoitopalvelualaStmRuotsi2005.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/28,Kollektivavtal för däcksbefäl och sjukskötare i utrikestrafik,Committee for Confirming the General Applicability of Collective Agreements,13.11.2017,28/2017,1.3.2024,28.2.2026,14.3.2024,Kollektivavtalet är allmänt bindande,Rederierna i Finland rf,Finlands Skeppsbefälsförbund rf,KansipaallsairhStmRuotsi2403.pdf,KansipaallsairhStmRuotsi2303.pdf,KansipaallsairhStmRuotsi2203.pdf,KansipaallsairhStmRuotsi2103.pdf,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/29,Kollektivavtal för maskinbefäl i utrikestrafik,Committee for Confirming the General Applicability of Collective Agreements,13.11.2017,29/2017,1.3.2024,28.2.2026,19.2.2024,Kollektivavtalet är allmänt bindande,Rederierna i Finland rf,Finlands Maskinbefälsförbund rf,KonepaallStmRuotsi2403.pdf,Ulkomaanliikenteen_yleiset_sopimukset_StmRuotsi2024-2026.pdf,KonepaallStmRuotsi2203.pdf,Ulkomaanliikenteen_yleiset_sopimukset_StmRuotsi2022-2024.pdf,KonepaallStmRuotsi2103.pdf,Ulkomaanliikenteen_yleiset_sopimukset_StmRuotsi2021-2022.pdf,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/30,Kollektivavtal för småtonnage i utrikesfart som gäller däcksbefäl,Committee for Confirming the General Applicability of Collective Agreements,13.11.2017,30/2017,1.3.2024,28.2.2026,14.3.2024,Kollektivavtalet är allmänt bindande,Rederierna i Finland rf,Finlands Skeppsbefälsförbund rf,UlkompientonnistoKansipaallystoStmRuotsi2403.pdf,UlkompientonnistoKansipaallystoStmRuotsi2303.pdf,UlkompientonnistoKansipaallystoStmRuotsi2203.pdf,UlkompientonnistoKansipaallystoStmRuotsi2103.pdf,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/31,Kollektivavtal för småtonnage i utrikesfart som gäller maskinbefäl,Committee for Confirming the General Applicability of Collective Agreements,13.11.2017,31/2017,1.3.2024,28.2.2026,19.2.2024,Kollektivavtalet är allmänt bindande,Rederierna i Finland rf,Finlands Maskinbefälsförbunf rf,UlkompientonnistoKonepaallystoStmRuotsi2403.pdf,UlkompientonnistoKonepaallystoStmRuotsi2203.pdf,UlkompientonnistoKonepaallystoStmRuotsi2103.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/90,Kollektivavtal gällande separat utdelning av oadresserade försändelser,Labour Court,16.6.2017,90/2017,1.1.2019,31.12.2019,31.12.2018,Kollektivavtalet är inte allmänt bindande,Suoramainonnan ja kaupunkilehtien erillisjakelun yhdistys ry,Suomen Mainosjakajien Etujärjestö ry,,,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/1,Mekaanisen metsäteollisuuden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,6.3.2018,1/2018,23.2.2020,31.12.2021,23.2.2020,Työehtosopimus on yleissitova,Metsäteollisuus ry,"Teollisuusliitto ry, Sähköalojen ammattiliitto ry",TT46mekmets2002.pdf,TT46mekmets1801UUSI2.pdf,TT46mekmets1801.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/2,Kollektivavtal för tekniska service- och underhållsuppgifter,Committee for Confirming the General Applicability of Collective Agreements,6.3.2018,2/2018,14.3.2025,30.11.2027,14.3.2025,Kollektivavtalet är inte allmänt bindande,Arbetsgivarna för servicebranscherna PALTA rf,Industrifacket rf,,,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/5,Kollektivavtal för båtbyggnadsindustrin,Committee for Confirming the General Applicability of Collective Agreements,15.5.2018,5/2018,6.3.2023,28.2.2025,4.4.2023,Kollektivavtalet är inte allmänt bindande,Båtindustrins Arbetsgivare rf,Indutrifacket rf,,,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/8,Metsäteollisuuden bioteollisuutta koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,15.5.2018,8/2018,5.3.2020,28.2.2022,5.3.2020,Työehtosopimus on yleissitova,Metsäteollisuus ry,Teollisuusliitto ry,TT94Turvet2003.pdf,TT94Turvet1802.pdf,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/9,Kollektivavtal för plastproduktindustrin och kemiproduktindustrin,Committee for Confirming the General Applicability of Collective Agreements,26.1.2026,1/2026,21.2.2025,31.12.2027,5.3.2025,Kollektivavtalet är allmänt bindande,"Kemiindustrin rf, Plastindustrin rf, Båtindustrins Arbetsgivare rf",Indutrifacket rf,MuokemtuoStmRuotsi2502.pdf,MuokemtuoStmRuotsi2302.pdf,MuokemtuoStmRuotsi2201.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/10,Kollektivavtal för snickeriindustrin,Committee for Confirming the General Applicability of Collective Agreements,15.5.2018,10/2018,1.5.2025,30.4.2028,29.4.2025,Kollektivavtalet är allmänt bindande,"Snickeriindustrin rf, Puuteollisuus ry",Indutrifacket rf,PuusepteStmRuotsi2505.pdf,PuusepteStmRuotsi2304.pdf,PuusepteStmRuotsi2203.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/11,Taimitarha-alan työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,15.5.2018,11/2018,1.3.2024,28.2.2026,15.3.2024,Työehtosopimus on yleissitova,Yksityismetsätalouden Työnantajat ry,Teollisuusliitto ry,Taimia2403.pdf,Taimi2403.pdf,Taimi2203.pdf,MU16taimi2001.pdf,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/12,"Öljy-, maakaasu- ja petrokemianteollisuutta koskeva työehtosopimus",Committee for Confirming the General Applicability of Collective Agreements,15.5.2018,12/2018,21.2.2025,31.12.2027,5.3.2025,Työehtosopimus on yleissitova,Kemianteollisuus ry,Teollisuusliitto ry,Oljpetr2502.pdf,Oljpetr2302.pdf,Oljpetr2201.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/13,Kollektivavtal för ädelmetallbranschen,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,13/2018,1.3.2025,29.2.2028,19.3.2025,Kollektivavtalet är allmänt bindande,Kemiindustrin rf,Industrifacket rf,JalometStmRuotsi2503.pdf,JalometStmRuotsi2303.pdf,JalometStmRuotsi2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/14,Kollektivavtal för borst- och penselbranscherna,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,14/2018,11.3.2025,29.2.2028,31.3.2025,Kollektivavtalet är allmänt bindande,Kemiindustrin rf,Industrifacket rf,HarjsivStmRuotsi2503.pdf,HarjsivStmRuotsi2303.pdf,HarjsivStmRuotsi2203.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/15,Lasikeraamisen teollisuuden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,15/2018,26.2.2025,31.1.2028,14.3.2025,Työehtosopimus on yleissitova,Lasikeraaminen teollisuus LT ry,Teollisuusliitto ry,Lasikertyt2502.pdf,Lasikertyt2302.pdf,Lasikertyt2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/16,Kollektivavtal för utdelning,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,16/2018,1.3.2025,29.2.2028,14.3.2025,Kollektivavtalet är inte allmänt bindande,Medieförbundet rf,Industrifacket rf,,,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/17,Kuvanvalmistamoita koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,17/2018,2.6.2025,29.2.2028,2.6.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Palvelualojen ammattiliitto PAM ry,Kuvavalmistamo2506.pdf,Kuvavalmistamo2305.pdf,Kuvavalmistamo2203.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/18,Kumiteollisuuden työntekijöitä koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.6.2018,18/2018,4.3.2025,31.1.2028,14.3.2025,Työehtosopimus on yleissitova,Kumiteollisuus ry,Teollisuusliitto ry,Kumiteol2503.pdf,Kumiteol2302.pdf,Kumiteol2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/19,Kollektivavtal för handel och verkstadsverksamhet inom bilbranschen,Committee for Confirming the General Applicability of Collective Agreements,20.8.2018,19/2018,1.12.2023,31.1.2027,25.3.2024,Kollektivavtalet är allmänt bindande,Bilbranschens Centralförbund rf,Industrifacket rf,AutoalakauppakorjatStmRuotsi2312.pdf,AutoalakauppakorjatStmRuotsi2201.pdf,MU21autoalakauppakoyruotsstmkielenk2001.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/20,Kemian perusteollisuuden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,20.8.2018,20/2018,21.2.2025,31.12.2027,5.3.2025,Työehtosopimus on yleissitova,Kemianteollisuus ry,Teollisuusliitto ry,Kemianperus2502.pdf,Kemianperus2302.pdf,Kemianperus2201.pdf,,,,,
