id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
18103,D121,CCNL 13 giugno 1973 per i lavoratori addetti all'industria delle calzature,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CALZATURE Industrie (D121).txt,283052,0.0001,clean
17177,K021,CCNL per i lavoratori delle aziende elettriche municipalizzate,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL addetti aziende elettriche municipalizzate (K021).txt,182706,0.0062,clean
17172,K031,CCNL per i dipendenti elettrici dell'Enel,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL PER I DIPENDENTI ELETTRICI DELL'ENEL (K031).txt,238939,0.0046,clean
18576,C011,CCNL per i lavoratori addetti all'industria metalmeccanica privata e alla installazione di impianti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 15 ottobre 2009 per i lavoratori addetti all'industria metalmeccanica privata e alla installazione di impianti (C011).txt,468252,0.0035,clean
17255,G0A4,"Norme per il regolamento dei rapporti tra la RAI - Radiotelevisione Italiana e gli Attori di Prosa, Rivista ed Operetta","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Norme per il regolamento dei rapporti tra la RAI - Radiotelevisione Italiana e gli Attori di Prosa, Rivista ed Operetta (G0A4).txt",75082,0.0032,clean
17354,F011,CCNL 31 gennaio 1973 per i dipendenti delle imprese edili ed affini,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 3 dicembre 1969 per gli operai dipendenti delle imprese edili ed affini (F011).txt,163545,0.0045,clean
17668,F032,"CCNL 20 gennaio 1973 per i dipendenti dalle aziende esercenti la produzione del cemento, dell'amianto-cemento, della calce e del gesso, nonchè la produzione promiscua di cemento, calce e gesso","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 18 maggio 1963 per gli operai dipendenti dalle aziende esercenti la produzione del cemento, amianto-cemento e la produzione promiscua di cemento, (F032).txt",140188,0.005,clean
18261,F041,CCNL 29 dicembre 1972 per i lavoratori dipendenti da aziende esercenti l'attività di escavazione e lavorazione dei materiali lapidei,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 13 maggio 2004 per i lavoratori dipendenti da aziende esercenti l'attività di escavazione e lavorazione dei materiali  (F041).txt,63422,0.0057,clean
18342,G031,Contratto nazionale di lavoro giornalistico del 16 dicembre 1972,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Contratto nazionale di lavoro giornalistico (G031).txt,92925,0.0031,clean
17845,E063,CCNL 29 novembre 1972 per i lavoratori addetti alle industre della macinazione e della pastificazione,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 1 febbraio 1955 per il conglobamento e riassetto zonale delle retribuzioni nell'ndustra molitoria e della pastificazione (E063).txt,15362,0.0719,noisy
18022,E068,CCNL 13 ottobre 1972 per gli addetti all'industria saccarifera,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 25 agosto 1964 per il rinnovo del CCNL 29 agosto 1961 per gli addetti all'industria saccarifera (E068).txt,366058,0.0117,clean
17809,E062,CCNL 5 ottobre 1972 per gli addetti alla industria risiera,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 11 agosto 1954 per il conglobamento e riassetto zonale delle retribuzioni per gli addetti all'industria risiera (E062).txt,26769,0.055,noisy
17778,E057,CCNL 27 luglio 1972  per gli addetti alle industrie della birra e del malto ,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 27 luglio 1972 per gli addetti alle industrie della birra e del malto (E057).txt,131548,0.0043,clean
17887,E059,CCNL 21 giugno 1972 per i dipendenti della industria delle acque minerali e bibite in acqua minerale,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 20 giugno 1969 per i dipendenti delle aziende idrotermali settore imbottigliamento (E059).txt,202284,0.0071,clean
17883,E058,CCNL 20 giugno 1972  per i lavoratori addetti all'industra delle acque e bevande gassate,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 18 marzo 1958 per i lavoratori addetti all'industra delle acque e bevande gassate (E058).txt,153964,0.0104,clean
18009,E061,CCNL 16 giugno 1972  per  le aziende di prodotti alimentari vegetali conservati,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 9 agosto 1954 per il conglobamento ed il riassetto zonale delle retribuzioni per gli addetti all'industria conserve vegetali (E061).txt,5578,0.0063,clean
18349,G511,CCNL 24 maggio 1972 per i dipendenti dei foto laboratori conto terzi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo del CCNL per i dipendenti dei Fotolaboratori conto terzi (G511).txt,58601,0.0036,clean
